away_season,away_event_date,away_nano,away_market,away_name,away_alias,away_points,away_epa_total,away_epa_offense_total,away_epa_offense_pass,away_epa_offense_rush,away_epa_defense_total,away_epa_defense_pass,away_epa_defense_rush,away_rush_att,away_rush_yds,away_rush_tds,away_pass_cmp,away_pass_att,away_pass_cmp_pct,away_pass_yds,away_pass_tds,away_pass_int,away_passer_rating,away_total_yds,away_times_sacked,away_yds_sacked_for,away_turnovers,away_penalties,away_penalty_yds,away_time_of_possession,away_boxscore_stats_link,away_home_away,away_days_since_last_game,away_short_rest
2015,2015-09-20,GJizlkzQFaqGA,Arizona,Cardinals,ARI,48,25.0,17.96,16.94,0.95,9.19,6.02,3.09,28,115,1,17,24,0.708,185,4,1,115.451,300,0,0,2,8,58,1804,https://www.pro-football-reference.com/boxscores/201509200chi.htm,away,7.0,False
2015,2015-10-11,GJizlkzQFaqGA,Arizona,Cardinals,ARI,42,-25.0,-9.65,-1.43,-7.73,-13.26,-8.68,-6.14,25,187,3,12,18,0.667,171,3,0,136.806,345,2,13,0,9,70,1408,https://www.pro-football-reference.com/boxscores/201510110det.htm,away,7.0,False
2015,2015-10-18,GJizlkzQFaqGA,Arizona,Cardinals,ARI,13,12.0,3.14,8.24,-3.44,1.35,-5.02,7.1,20,55,0,29,45,0.644,421,1,2,83.657,469,1,7,3,9,111,1869,https://www.pro-football-reference.com/boxscores/201510180pit.htm,away,7.0,False
2015,2015-11-01,GJizlkzQFaqGA,Arizona,Cardinals,ARI,34,14.0,12.33,23.25,-11.59,6.36,-5.01,9.7,38,119,0,23,38,0.605,374,4,1,117.654,491,1,2,4,5,25,2063,https://www.pro-football-reference.com/boxscores/201511010cle.htm,away,6.0,False
2015,2015-11-15,GJizlkzQFaqGA,Arizona,Cardinals,ARI,39,-2.35,1.63,2.09,1.91,-0.17,-8.95,2.45,33,117,1,29,47,0.617,363,3,1,98.094,451,3,29,3,9,66,2332,https://www.pro-football-reference.com/boxscores/201511150sea.htm,away,14.0,False
2015,2015-11-29,GJizlkzQFaqGA,Arizona,Cardinals,ARI,19,-6.0,1.68,3.88,-1.21,-5.59,-17.95,10.46,29,70,2,24,40,0.6,271,0,0,80.312,337,1,4,0,7,47,2247,https://www.pro-football-reference.com/boxscores/201511290sfo.htm,away,7.0,False
2015,2015-12-06,GJizlkzQFaqGA,Arizona,Cardinals,ARI,27,-24.0,-15.12,-11.54,-2.91,-18.6,-22.06,2.93,36,175,1,27,41,0.659,362,2,0,110.01,524,2,13,0,3,25,2387,https://www.pro-football-reference.com/boxscores/201512060ram.htm,away,7.0,False
2015,2015-12-20,GJizlkzQFaqGA,Arizona,Cardinals,ARI,40,-23.0,-9.38,-1.99,-6.73,-22.52,-13.06,-9.46,39,230,3,20,33,0.606,274,1,0,97.285,493,2,11,0,1,10,2248,https://www.pro-football-reference.com/boxscores/201512200phi.htm,away,10.0,False
2015,2016-01-24,GJizlkzQFaqGA,Arizona,Cardinals,ARI,15,-34.0,-10.49,-12.4,0.18,-15.85,-12.54,-1.23,16,60,1,23,41,0.561,235,1,4,41.26,287,3,8,7,8,51,1401,https://www.pro-football-reference.com/boxscores/201601240car.htm,away,8.0,False
2016,2016-09-25,GJizlkzQFaqGA,Arizona,Cardinals,ARI,18,-15.0,-20.9,-9.92,-9.33,2.34,6.51,-4.97,22,88,2,26,50,0.52,287,0,4,36.0,348,5,27,5,8,50,2040,https://www.pro-football-reference.com/boxscores/201609250buf.htm,away,7.0,False
2016,2016-10-06,GJizlkzQFaqGA,Arizona,Cardinals,ARI,33,-12.0,-2.05,-5.07,3.02,3.49,6.26,-3.43,37,172,2,11,28,0.393,124,2,0,77.083,288,1,8,0,7,50,1904,https://www.pro-football-reference.com/boxscores/201610060sfo.htm,away,4.0,True
2016,2016-10-30,GJizlkzQFaqGA,Arizona,Cardinals,ARI,20,-10.0,-6.19,-2.47,-2.72,-1.07,-6.27,3.8,10,24,0,35,46,0.761,363,3,1,111.051,340,8,47,2,10,88,1752,https://www.pro-football-reference.com/boxscores/201610300car.htm,away,7.0,False
2016,2016-11-20,GJizlkzQFaqGA,Arizona,Cardinals,ARI,24,6.0,-2.66,1.01,-1.53,6.42,9.46,-3.04,28,135,1,20,38,0.526,198,2,2,63.268,290,4,43,2,8,96,1862,https://www.pro-football-reference.com/boxscores/201611200min.htm,away,7.0,False
2016,2016-11-27,GJizlkzQFaqGA,Arizona,Cardinals,ARI,19,-19.0,1.72,7.85,-5.13,-17.09,-14.14,-2.95,14,58,0,25,45,0.556,289,2,1,80.694,332,2,15,1,8,60,1538,https://www.pro-football-reference.com/boxscores/201611270atl.htm,away,7.0,False
2016,2016-12-11,GJizlkzQFaqGA,Arizona,Cardinals,ARI,23,0.0,-5.71,9.8,-15.55,9.49,8.3,2.57,27,175,1,18,33,0.545,145,2,2,60.795,300,3,20,4,7,54,1796,https://www.pro-football-reference.com/boxscores/201612110mia.htm,away,7.0,False
2016,2016-12-24,GJizlkzQFaqGA,Arizona,Cardinals,ARI,34,-3.0,5.97,13.34,-8.04,-6.42,-13.93,6.85,29,94,3,16,27,0.593,284,1,0,107.639,370,1,8,1,7,85,1578,https://www.pro-football-reference.com/boxscores/201612240sea.htm,away,6.0,False
2016,2017-01-01,GJizlkzQFaqGA,Arizona,Cardinals,ARI,44,-38.0,-39.25,-29.97,-8.62,-5.82,-7.69,1.87,24,84,1,22,42,0.524,263,3,2,75.794,344,1,3,2,4,51,1678,https://www.pro-football-reference.com/boxscores/201701010ram.htm,away,8.0,False
2017,2017-09-10,GJizlkzQFaqGA,Arizona,Cardinals,ARI,23,12.0,-6.69,3.71,-6.77,18.14,8.84,7.97,18,45,1,27,48,0.562,268,1,3,53.125,308,1,5,4,6,55,1600,https://www.pro-football-reference.com/boxscores/201709100det.htm,away,14.0,False
2017,2017-09-17,GJizlkzQFaqGA,Arizona,Cardinals,ARI,16,3.0,-0.55,4.37,-3.96,12.33,9.1,2.88,25,83,0,19,36,0.528,332,1,1,82.176,389,4,26,1,6,41,1729,https://www.pro-football-reference.com/boxscores/201709170clt.htm,away,7.0,False
2017,2017-10-08,GJizlkzQFaqGA,Arizona,Cardinals,ARI,7,27.0,16.42,23.97,-9.88,3.67,0.52,2.48,14,31,0,28,44,0.636,291,1,0,90.246,307,2,15,1,7,61,1453,https://www.pro-football-reference.com/boxscores/201710080phi.htm,away,7.0,False
2017,2017-10-22,GJizlkzQFaqGA,Arizona,Cardinals,ARI,0,33.0,13.79,2.86,9.4,16.63,13.74,2.89,12,25,0,15,32,0.469,188,0,2,39.583,196,3,17,2,10,65,1259,https://www.pro-football-reference.com/boxscores/201710220ram.htm,away,7.0,False
2017,2017-11-05,GJizlkzQFaqGA,Arizona,Cardinals,ARI,20,-10.0,-19.86,-21.44,2.24,3.98,-4.79,8.77,43,167,0,15,30,0.5,201,2,1,80.0,368,0,0,2,2,25,2182,https://www.pro-football-reference.com/boxscores/201711050sfo.htm,away,14.0,False
2017,2017-11-19,GJizlkzQFaqGA,Arizona,Cardinals,ARI,21,10.0,4.78,3.73,1.05,2.48,-7.67,9.47,18,48,0,22,34,0.647,257,3,2,92.402,292,2,13,2,10,90,1574,https://www.pro-football-reference.com/boxscores/201711190htx.htm,away,10.0,False
2017,2017-12-17,GJizlkzQFaqGA,Arizona,Cardinals,ARI,15,5.0,-6.74,3.44,-9.18,19.03,23.27,-5.57,34,141,0,16,41,0.39,189,0,1,43.648,286,5,44,2,8,71,2176,https://www.pro-football-reference.com/boxscores/201712170was.htm,away,7.0,False
2017,2017-12-31,GJizlkzQFaqGA,Arizona,Cardinals,ARI,26,-2.0,-4.47,4.61,-8.4,0.61,-1.34,1.27,33,116,1,15,34,0.441,145,1,1,54.167,259,1,2,1,4,25,1936,https://www.pro-football-reference.com/boxscores/201712310sea.htm,away,7.0,False
2018,2018-09-16,GJizlkzQFaqGA,Arizona,Cardinals,ARI,0,34.0,18.11,18.61,-3.69,17.5,12.55,4.22,15,54,0,17,27,0.63,90,0,1,53.009,137,1,7,1,9,47,1552,https://www.pro-football-reference.com/boxscores/201809160ram.htm,away,7.0,False
2018,2018-10-07,GJizlkzQFaqGA,Arizona,Cardinals,ARI,28,-10.0,-10.35,3.23,-7.76,3.94,1.83,2.77,23,56,2,10,25,0.4,170,1,0,77.083,220,1,6,0,5,46,1188,https://www.pro-football-reference.com/boxscores/201810070sfo.htm,away,7.0,False
2018,2018-10-14,GJizlkzQFaqGA,Arizona,Cardinals,ARI,17,10.0,-3.32,-8.0,6.58,14.2,4.42,9.45,20,60,1,21,31,0.677,240,0,1,77.352,268,4,32,2,5,30,1538,https://www.pro-football-reference.com/boxscores/201810140min.htm,away,7.0,False
2018,2018-11-11,GJizlkzQFaqGA,Arizona,Cardinals,ARI,14,12.0,7.53,6.93,2.12,8.96,10.27,-0.64,25,94,1,22,39,0.564,208,1,2,58.494,260,5,42,2,3,30,1907,https://www.pro-football-reference.com/boxscores/201811110kan.htm,away,14.0,False
2018,2018-11-25,GJizlkzQFaqGA,Arizona,Cardinals,ARI,10,35.0,24.25,13.36,10.89,13.0,9.11,3.89,24,62,0,12,19,0.632,105,1,1,73.355,149,2,18,1,3,35,1482,https://www.pro-football-reference.com/boxscores/201811250sdg.htm,away,7.0,False
2018,2018-12-02,GJizlkzQFaqGA,Arizona,Cardinals,ARI,20,-3.0,3.18,3.99,-0.15,-3.9,3.06,-10.07,29,182,2,11,26,0.423,149,0,0,61.218,315,2,16,0,7,49,1654,https://www.pro-football-reference.com/boxscores/201812020gnb.htm,away,7.0,False
2018,2018-12-16,GJizlkzQFaqGA,Arizona,Cardinals,ARI,14,-26.0,-16.06,-11.42,-4.45,-15.22,-7.41,-9.49,22,60,1,23,36,0.639,243,1,2,69.56,253,7,50,3,8,75,1760,https://www.pro-football-reference.com/boxscores/201812160atl.htm,away,7.0,False
2018,2018-12-30,GJizlkzQFaqGA,Arizona,Cardinals,ARI,24,4.0,-4.06,-7.71,3.65,20.5,18.11,1.6,24,85,0,18,34,0.529,149,1,0,74.265,198,6,36,2,3,20,1851,https://www.pro-football-reference.com/boxscores/201812300sea.htm,away,7.0,False
2019,2019-09-15,GJizlkzQFaqGA,Arizona,Cardinals,ARI,17,7.0,11.6,9.49,1.67,-4.48,-8.72,4.11,11,20,1,25,40,0.625,349,0,0,90.521,349,3,20,0,8,70,1342,https://www.pro-football-reference.com/boxscores/201909150rav.htm,away,7.0,False
2019,2019-10-06,GJizlkzQFaqGA,Arizona,Cardinals,ARI,26,3.0,21.22,9.3,13.15,-9.27,-11.84,1.73,38,266,2,20,32,0.625,253,0,0,87.109,514,1,5,0,12,96,1863,https://www.pro-football-reference.com/boxscores/201910060cin.htm,away,7.0,False
2019,2019-10-20,GJizlkzQFaqGA,Arizona,Cardinals,ARI,27,-6.0,-8.02,-10.56,1.86,-3.73,-3.91,-0.49,38,156,3,14,21,0.667,104,0,0,78.274,245,2,15,0,10,85,1799,https://www.pro-football-reference.com/boxscores/201910200nyg.htm,away,7.0,False
2019,2019-10-27,GJizlkzQFaqGA,Arizona,Cardinals,ARI,9,22.0,24.66,20.54,2.72,11.97,8.34,3.63,11,40,0,19,34,0.559,220,0,0,75.613,237,4,23,0,5,35,1321,https://www.pro-football-reference.com/boxscores/201910270nor.htm,away,7.0,False
2019,2019-11-10,GJizlkzQFaqGA,Arizona,Cardinals,ARI,27,3.0,9.52,4.19,6.33,-1.71,-5.95,2.43,18,75,0,28,45,0.622,350,3,1,99.306,417,2,8,2,11,87,1437,https://www.pro-football-reference.com/boxscores/201911100tam.htm,away,10.0,False
2019,2019-11-17,GJizlkzQFaqGA,Arizona,Cardinals,ARI,26,10.0,8.92,18.99,-9.53,-0.09,4.96,-4.71,25,135,1,24,33,0.727,150,2,0,101.831,266,4,19,2,10,104,1883,https://www.pro-football-reference.com/boxscores/201911170sfo.htm,away,7.0,False
2019,2019-12-22,GJizlkzQFaqGA,Arizona,Cardinals,ARI,27,-14.0,-13.87,-9.57,-3.97,-10.12,0.23,-10.49,40,253,2,15,27,0.556,167,1,0,86.497,412,2,8,0,5,47,2093,https://www.pro-football-reference.com/boxscores/201912220sea.htm,away,7.0,False
2019,2019-12-29,GJizlkzQFaqGA,Arizona,Cardinals,ARI,24,7.0,16.31,20.92,-5.18,-3.53,-8.91,5.38,17,71,1,27,43,0.628,325,2,2,82.025,393,1,3,5,8,63,1382,https://www.pro-football-reference.com/boxscores/201912290ram.htm,away,7.0,False
2020,2020-09-13,GJizlkzQFaqGA,Arizona,Cardinals,ARI,24,-4.0,3.88,5.8,-1.02,-6.46,0.31,-7.76,36,180,2,26,40,0.65,230,1,1,78.125,404,2,6,1,9,102,1886,https://www.pro-football-reference.com/boxscores/202009130sfo.htm,away,14.0,False
2020,2020-10-04,GJizlkzQFaqGA,Arizona,Cardinals,ARI,21,-10.0,8.53,6.34,2.78,-23.36,-14.71,-10.48,23,129,0,24,31,0.774,133,3,0,116.734,262,1,0,1,5,29,1372,https://www.pro-football-reference.com/boxscores/202010040car.htm,away,7.0,False
2020,2020-10-11,GJizlkzQFaqGA,Arizona,Cardinals,ARI,30,-19.0,-4.27,-2.68,-0.57,-17.2,-18.86,-0.98,30,127,3,27,37,0.73,380,1,1,103.435,496,1,11,1,10,59,1935,https://www.pro-football-reference.com/boxscores/202010110nyj.htm,away,7.0,False
2020,2020-10-19,GJizlkzQFaqGA,Arizona,Cardinals,ARI,38,-28.0,-3.91,-0.2,-3.02,-23.56,-5.74,-18.48,35,261,3,9,24,0.375,188,2,0,93.75,438,1,11,0,7,43,1583,https://www.pro-football-reference.com/boxscores/202010190dal.htm,away,8.0,False
2020,2020-11-19,GJizlkzQFaqGA,Arizona,Cardinals,ARI,21,7.0,16.03,12.23,4.2,-8.96,-12.9,1.24,18,57,1,29,42,0.69,269,2,0,102.183,314,3,12,0,10,115,1493,https://www.pro-football-reference.com/boxscores/202011190sea.htm,away,4.0,True
2020,2020-11-29,GJizlkzQFaqGA,Arizona,Cardinals,ARI,17,4.0,-4.68,-9.03,4.68,0.0,-3.44,2.21,34,138,2,23,34,0.676,170,0,1,67.034,298,2,10,1,6,50,2048,https://www.pro-football-reference.com/boxscores/202011290nwe.htm,away,10.0,False
2020,2020-12-13,GJizlkzQFaqGA,Arizona,Cardinals,ARI,26,-19.0,-18.89,-18.37,0.57,-1.35,-6.45,4.08,43,159,1,24,35,0.686,244,1,0,97.798,390,1,13,0,4,22,2273,https://www.pro-football-reference.com/boxscores/202012130nyg.htm,away,7.0,False
