StudentID,Program,Major,CoursePath
S001,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Computer Graphics -> Game Development -> Cloud Computing -> Quantum Computing -> Parallel Programming -> CS Capstone 401
S002,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Artificial Intelligence Fundamentals -> Computer Graphics -> Functional Programming -> Cloud Computing -> Cybersecurity Basics -> CS Capstone 401
S003,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Game Development -> Quantum Computing -> Computer Graphics -> Big Data Analytics -> Parallel Programming -> CS Capstone 401
S004,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Functional Programming -> Game Development -> Cybersecurity Basics -> DevOps -> Parallel Programming -> CS Capstone 401
S005,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Functional Programming -> Parallel Programming -> Cybersecurity Basics -> Big Data Analytics -> Cloud Computing -> CS Capstone 401
S006,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Cloud Computing -> Game Development -> Artificial Intelligence Fundamentals -> DevOps -> Cybersecurity Basics -> CS Capstone 401
S007,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> DevOps -> Cloud Computing -> Artificial Intelligence Fundamentals -> Computer Graphics -> Big Data Analytics -> CS Capstone 401
S008,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Computer Graphics -> Quantum Computing -> Parallel Programming -> Game Development -> Artificial Intelligence Fundamentals -> CS Capstone 401
S009,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> DevOps -> Cloud Computing -> Game Development -> Quantum Computing -> Cybersecurity Basics -> CS Capstone 401
S010,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Functional Programming -> Computer Graphics -> Parallel Programming -> Game Development -> Cloud Computing -> CS Capstone 401
S011,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Cloud Computing -> DevOps -> Cybersecurity Basics -> Functional Programming -> Game Development -> CS Capstone 401
S012,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Game Development -> Cybersecurity Basics -> Cloud Computing -> Quantum Computing -> Computer Graphics -> CS Capstone 401
S013,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Computer Graphics -> Parallel Programming -> Cloud Computing -> Cybersecurity Basics -> DevOps -> CS Capstone 401
S014,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> DevOps -> Artificial Intelligence Fundamentals -> Quantum Computing -> Functional Programming -> Computer Graphics -> CS Capstone 401
S015,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Cloud Computing -> Computer Graphics -> Artificial Intelligence Fundamentals -> Quantum Computing -> DevOps -> CS Capstone 401
S016,CS,CS,Intro to Programming -> Data Structures -> Algorithms -> Computer Architecture -> Operating Systems -> Software Engineering -> Databases -> Web Development -> Mobile App Development -> Cybersecurity Basics -> Artificial Intelligence Fundamentals -> Big Data Analytics -> Quantum Computing -> Functional Programming -> CS Capstone 401
